#BajaNorte
Ensenada 	30.73563,-115.99649
Mexicali 	32.61327,-115.34228
Playas-de-Rosarito 	32.20757,-116.89570
Tecate 	32.59134,-116.19085
Tijuana 	32.46763,-116.80360
Comondu 	25.11662,-111.82525

#BajaSur
La-Paz 	24.07250,-110.36222
Loreto 	23.98472,-109.90694
Los-Cabos 	23.44310,-109.77590
Mulege 	27.14223,-114.29340

##Sonora
#Aconchi 	29.82504,-110.22717
#Agua-Prieta 	30.94849,-109.27437
#Alamos 	27.02694,-108.93659
#Altar 	30.71361,-111.83528
#Arivechi 	28.92799,-109.18830
#Arizpe 	30.60838,-110.23496
#Atil 	30.84681,-111.58330
#Bacadehuachi 	29.80000,-109.13333
#Bacanora 	28.97836,-109.39997
#Bacerac 	29.23333,-109.11667
#Bacoachi 	30.63247,-109.96465
#Bacum 	27.30668,-110.17315
#Banamichi 	30.00923,-110.21373
#Baviacora 	29.74708,-110.18229
#Bavispe 	30.48026,-108.93909
#Benjamin-Hill 	30.17172,-111.10348
#Caborca 	30.71501,-112.15730
#Cajeme 	27.23271,-110.01570
#Cananea 	30.82400,-110.38338
#Carbo 	29.68442,-110.95618
#Cucurpe 	30.33173,-110.70133
#Cumpas 	30.25138,-109.70867
#Divisaderos 	29.61491,-109.46890
#Empalme 	28.07829,-110.61261
#Etchojoa 	27.15896,-109.59081
#Fronteras 	30.78095,-109.57979
#General-Plutarco-Elias-Calles 	29.16346,-109.70324
#Granados 	29.86146,-109.31098
#Guaymas 	27.91396,-110.90208
#Hermosillo 	29.08919,-110.96133
#Huachinera 	30.06963,-109.08749
#Huasabas 	29.90747,-109.30076
#Huatabampo 	26.82715,-109.64186
#Huepac 	29.91070,-110.21381
#Imuris 	30.77158,-110.85745
#La-Colorada 	28.89611,-110.24944
#Naco 	31.39509,-109.92244
#Nacori-Chico 	29.62271,-108.99266
#Nacozari-de-Garcia 	30.37439,-109.68863
#Navojoa 	27.17672,-109.20362
#Nogales 	31.13076,-111.11608
#Onavas 	28.46095,-109.52851
#Opodepe 	30.03091,-110.67554
#Oquitoa 	30.74167,-111.73361
#Pitiquito 	30.67809,-112.05486
#Puerto-Penasco 	31.31807,-113.53669
#Quiriego 	27.48333,-109.26667
#Sahuaripa 	28.74448,-109.13759
#San-Felipe-de-Jesus 	29.85870,-110.24003
#San-Ignacio-Rio-Muerto 	27.35362,-110.45337
#San-Javier 	28.59549,-109.74068
#San-Luis-Rio-Colorado 	32.29972,-115.19421
#San-Miguel-de-Horcasitas 	29.49283,-110.72060
#San-Pedro-de-La-Cueva 	29.39606,-109.82346
#Santa-Cruz 	31.14720,-110.64260
#Saric 	31.05000,-111.35000
#Soyopa 	28.97681,-109.64066
#Suaqui-Grande 	28.39605,-109.88897
#Tepache 	29.51490,-109.58393
#Trincheras 	30.56667,-111.48333
#
##Chihuahua
#Ahumada 	30.61375,-106.51404
#Allende 	26.91425,-105.41850
#Aquiles-Serdan 	28.59216,-105.89120
#Ascension 	31.50683,-107.38897
#Bachiniva 	28.97760,-107.43015
#Balleza 	26.94569,-106.37607
#Batopilas 	27.02713,-107.73937
#Bocoyna 	27.84012,-107.58330
#Buenaventura 	30.15504,-106.88499
#Camargo 	27.71776,-105.19552
#Carichi 	27.91697,-107.05520
#Casas-Grandes 	30.25000,-107.95000
#Chihuahua 	28.15096,-106.21278
#Chinipas 	27.33621,-108.50085
#Coronado 	26.73351,-105.13813
#Coyame-Del-Sotol 	29.46667,-105.10000
#Cuauhtemoc 	28.47533,-106.63214
#Cusihuiriachi 	28.11888,-106.94222
#Delicias 	30.16835,-106.44355
#Dr-Belisario-Dominguez 	28.17092,-106.39206
#El-Tule 	27.12556,-106.34410
#Galeana 	30.11081,-107.61190
#Gomez-Farias 	29.35883,-107.73620
#Gran-Morelos 	28.32384,-106.65763
#Guachochi 	27.11799,-107.37611
#Guadalupe 	28.96667,-105.01667
#Guadalupe-y-Calvo 	26.18399,-107.32282
#Guazapares 	27.36667,-108.25000
#Guerrero 	19.48386,-99.07372
#Hidalgo-Del-Parral 	26.93232,-105.66668
#Huejotitan 	27.05662,-106.17732
#Ignacio-Zaragoza 	29.72004,-107.81718
#Janos 	30.82839,-108.29836
#Jimenez 	27.14066,-104.91570
#Julimes 	28.31955,-105.38372
#La-Cruz 	27.81667,-105.16667
#Lopez 	27.04311,-105.11563
#Madera 	29.11064,-108.07870
#Maguarichi 	27.85886,-107.99430
#Manuel-Benavides 	28.93510,-103.82439
#Matachi 	27.11667,-105.60000
#Matamoros 	26.76027,-105.58647
#Meoqui 	29.70000,-104.55000
#Morelos 	26.35706,-107.83040
#Moris 	28.10830,-108.61075
#Namiquipa 	28.92488,-107.50662
#Nonoava 	27.45755,-106.70193
#Nuevo-Casas-Grandes 	30.36454,-107.92419
#Ocampo 	28.03255,-107.91122
#Ojinaga 	29.36478,-104.28771
#Praxedis-G-Guerrero 	31.37206,-106.00524
#Riva-Palacio 	28.55462,-106.52430
#Rosales 	28.44222,-105.61216
#Rosario 	30.16835,-106.44355
#San-Francisco-de-Borja 	27.81840,-106.61657
